A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35
0.0,0.0,0.0,0.0,0.0,0.19369461457885337,-0.5935366219468414,0.0,-0.2891248127678409,1.6236265388759785,-0.021716347653418778,0.0,0.0,0.0,-0.11498122692108154,0.0,0.0,0.0,0.0,0.010273269100580365,-1.129159733839333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,-4.208925654282793,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.3973412717075553,0.2820917226746678,0.0,0.1999979572929442,1.5343071273504756,-0.024338358510285617,0.0,0.0,0.0,-0.1240585804427974,0.0,0.0,0.0,0.0,0.014275210129562765,-1.1252755004167556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,-3.077162001784891,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.38803861213382335,-0.07519327939487994,0.0,-0.07264330325648188,-4.957996123558842,0.0009830498695373535,0.0,0.0,0.0,-0.03817665687936824,0.0,0.0,0.0,0.0,0.010273269100580365,-1.3186333649605513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,1.768087765001692,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.7002646502049175,0.06464431241154671,0.0,0.053720996263436974,1.0961757503217087,-0.01796271715313196,0.0,0.0,0.0,-0.10983477580128237,0.0,0.0,0.0,0.0,0.014275210129562765,4.468776720315218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,1.344059974574484,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.3973412717075553,0.2820917226746678,0.0,0.1999979572929442,1.5343071273504756,-0.024338358510285617,0.0,0.0,0.0,-0.1240585804427974,0.0,0.0,0.0,0.0,0.014275210129562765,-1.1252755004167556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,-3.077162001784891,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.779376212504576,0.08711154270917178,0.0,0.06050834689289331,2.3615947977057656,-0.021716347653418778,0.0,0.0,0.0,-0.09136625776067377,0.0,0.0,0.0,0.0,0.014275210129562765,-0.7932369334995747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,2.5669259695429356,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.40786194854881613,0.04892818922176957,0.0,0.06050834689289331,-4.966066524102352,0.0009830498695373535,0.0,0.0,0.0,-0.0483994971885113,0.0,0.0,0.0,0.0,-0.1723211312107742,-1.3155593939870596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07399099295958876,0.0,1.4053160838922485,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.19369461457885337,-0.5935366219468414,0.0,-0.2891248127678409,1.6236265388759785,-0.021716347653418778,0.0,0.0,0.0,-0.11498122692108154,0.0,0.0,0.0,0.0,0.010273269100580365,-1.129159733839333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,-4.208925654282793,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.3476170002453728,0.39403527688235046,0.0,0.1999979572929442,1.6458201404917054,-0.021716347653418778,0.0,0.0,0.0,-0.11498122692108154,0.0,0.0,0.0,0.0,0.014275210129562765,-1.113427920229733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,-3.5518872425984593,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.3958845989999827,0.2820917226746678,0.0,0.1999979572929442,1.5361934889084659,0.0014546403475105762,0.0,0.0,0.0,-0.15602823189634363,0.0,0.0,0.0,0.0,0.027949775541201233,-1.1224418820813298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1602459456026554,0.0,-3.077162001784891,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.15721873872273137,0.36636533189564946,0.0,0.1999979572929442,-3.904046637895517,-0.017472033463418482,0.0,0.0,0.0,-0.05300040295347572,0.0,0.0,0.0,0.0,0.014275210129562765,-1.5044685963913798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,-2.211758667449467,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.7476014959596796,-0.09277262270450592,0.0,0.06050834689289331,2.359157730450388,0.0011633058078587056,0.0,0.0,0.0,-0.12773205881938338,0.0,0.0,0.0,0.0,-0.1455389104783535,-0.7909766821935773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07399099295958876,0.0,2.9018969703372566,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,-0.35000667173881084,0.05945619801059365,0.0,0.053720996263436974,-2.66960802413756,-0.013718402981758117,0.0,0.0,0.0,-0.03891430765157566,0.0,0.0,0.0,0.0,0.014275210129562765,7.285840907841921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02663254271261394,0.0,0.8705078720394522,0.0,0.0,0.0
