A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35
-0.0019999999999999905,0.0,0.0,-0.0020000000000000026,-0.012000000000000004,-0.017999999999999978,-0.0010000000000000009,-0.005000000000000001,-0.023,0.06999999999999998,-0.003999999999999998,0.0,0.0030000000000000027,0.0,-0.0020000000000000018,0.0,0.0,-0.005000000000000003,0.0,-0.0009999999999999996,-0.028000000000000014,-0.013000000000000012,0.0,-0.009000000000000001,0.0,-0.005,0.0,0.0,0.0,0.0,-0.001999999999999996,0.0,-0.42800000000000005,0.0030000000000000027,0.0,-0.005999999999999998
-0.0029999999999999914,0.0,0.0,-0.0010000000000000009,0.0030000000000000083,0.003999999999999995,-0.004999999999999988,0.002999999999999997,-0.004000000000000001,0.07100000000000001,-6.591949208711867e-18,0.0,-0.009000000000000003,0.0,-0.003,0.0,0.0,-0.0030000000000000027,0.0,0.0,-0.10400000000000002,0.0,0.0,-0.0010000000000000009,0.0,0.008000000000000004,0.0,0.0,0.0,0.0,-0.001999999999999996,0.0,-0.441,-0.0029999999999999914,-1.1102230246251566e-17,-6.938893903907228e-18
-0.020999999999999984,0.0,0.0,-0.0020000000000000018,0.054000000000000006,0.11000000000000001,0.09200000000000001,0.03299999999999999,0.023000000000000003,-0.384,0.16500000000000004,0.0,-0.016,0.0,0.018999999999999993,0.0,0.0,0.002999999999999997,0.0,0.0,-0.04300000000000001,0.004999999999999996,0.0,0.202,0.0,-1.1102230246251566e-17,0.0,0.0,0.0,0.0,-0.005999999999999997,0.0,0.22100000000000009,0.0009999999999999953,0.0,0.054000000000000006
-0.0020000000000000018,0.0,0.0,-0.0020000000000000018,0.03999999999999999,0.014000000000000012,-0.015999999999999997,0.009000000000000003,-0.009999999999999998,0.196,0.014000000000000002,0.0,-0.008000000000000007,0.0,-0.006000000000000005,0.0,0.0,0.0,0.0,0.0,0.14500000000000002,0.006999999999999995,0.0,0.0060000000000000105,0.0,0.006,0.0,0.0,0.0,0.0,-0.005999999999999994,0.0,0.12799999999999997,0.0,0.0,-0.004999999999999993
-0.0010000000000000009,0.0,0.0,-0.0020000000000000018,-0.0009999999999999953,0.0040000000000000036,0.004000000000000005,0.005999999999999994,0.005999999999999994,0.07500000000000001,-0.003000000000000007,0.0,-0.003999999999999995,0.0,-0.007000000000000004,0.0,0.0,-0.0040000000000000036,0.0,-0.0010000000000000009,-0.08300000000000002,-0.00900000000000001,0.0,0.0009999999999999953,0.0,0.0020000000000000018,0.0,0.0,0.0,0.0,-0.0030000000000000027,0.0,-0.45499999999999996,-0.006,0.0,-0.008999999999999992
-0.0020000000000000018,0.0,0.0,-0.0030000000000000027,-0.0010000000000000009,-0.015999999999999993,-0.012999999999999984,0.033,0.004999999999999999,0.225,-0.0040000000000000036,0.0,0.008999999999999985,0.0,-0.002999999999999997,0.0,0.0,-0.007000000000000006,0.0,0.0,-0.020999999999999984,-0.0029999999999999914,0.0,0.010999999999999987,0.0,-0.006000000000000005,0.0,0.0,0.0,0.0,-0.008000000000000007,0.0,0.319,-0.001999999999999996,0.0010000000000000009,-0.0040000000000000036
-0.0010000000000000009,0.0,0.0,0.0,-0.012,0.0050000000000000044,-0.008999999999999998,-0.0029999999999999983,-0.016000000000000007,-0.509,0.009999999999999992,0.0,-0.005000000000000003,0.0,-0.005999999999999997,0.0,0.0,0.0,0.0,0.016000000000000018,-0.06999999999999999,-0.032,0.0,-0.0050000000000000044,0.0,-0.0020000000000000018,0.0,0.0,0.0,0.0,0.024999999999999988,0.0,0.12,0.0,0.0010000000000000009,0.0029999999999999983
-0.0010000000000000009,0.0,0.0,0.0,0.01999999999999998,-0.008999999999999975,-0.009999999999999998,-0.022,-0.015000000000000003,0.06700000000000002,-0.022,0.0,-0.009999999999999986,0.0,-0.0030000000000000027,0.0,0.0,-0.0020000000000000018,0.0,-0.0010000000000000002,-0.027000000000000003,-0.012000000000000007,0.0,-0.006000000000000003,0.0,0.006999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,-0.44299999999999995,-0.003999999999999992,0.0020000000000000005,0.0009999999999999996
-0.0019999999999999905,0.0,0.0,-0.0010000000000000009,-0.096,-0.002000000000000003,0.0010000000000000072,0.007999999999999995,-0.005999999999999998,0.078,-1.3877787807814458e-18,0.0,-0.004999999999999995,0.0,-0.0069999999999999975,0.0,0.0,0.005999999999999994,0.0,-0.0010000000000000009,-0.094,0.0010000000000000018,0.0,-0.012000000000000002,0.0,0.027000000000000003,0.0,0.0,0.0,0.0,0.001999999999999999,0.0,-0.422,0.016000000000000004,0.0,0.01899999999999999
-0.002999999999999997,0.0,0.0,-0.0030000000000000027,-0.030999999999999993,0.010999999999999994,0.0030000000000000014,-0.0020000000000000018,-0.0030000000000000083,0.079,-0.00799999999999999,0.0,-0.007000000000000001,0.0,-0.006000000000000004,0.0,0.0,0.0,0.0,-0.0030000000000000014,-0.054000000000000006,-0.03200000000000001,0.0,0.021999999999999995,0.0,-0.002999999999999997,0.0,0.0,0.0,0.0,-0.018,0.0,-0.43499999999999994,0.0,-0.0020000000000000005,0.005000000000000002
