in1,in2,in3,in4
0.03919943728553399,-0.006074579551530339,0.001870988493868693,0.0017950303933384967
-0.0474418939439783,0.008914548315722963,-4.3463931351246654e-05,0.00037428020142010743
0.032296308648683936,0.025518566146428445,0.0011833093037110845,0.0037823090670069948
-0.0027930891331329755,0.05374833241950831,0.0010293598419249608,-0.005045119706075872
0.037397207775928795,-0.0059672704615132965,-0.000330448332819297,0.0002257475036884643
0.020555928607450397,0.09904202791228663,0.0002479273934235249,-0.0007883740002307682
0.033621862375874584,0.04080283520498321,0.001982131440718786,0.0037181951559554435
-0.05293074065817846,-0.049768189929812544,1.9616128750850337e-05,0.0029691053529934744
0.004598147447342216,-0.021416715443446865,0.0009409226007125876,0.0011875297532878692
-0.0028444643226134547,-0.05262145046637636,0.0008437710571209331,-0.0015983895052276986
0.045972554031370266,0.07059253921500198,0.00405425451008546,-0.00882084334421996
-0.047439334989089754,0.038025320670189315,0.0005514363679362394,0.0030901242065167547
0.011565436406567736,-0.053263656652917456,0.0014883533915932626,0.0031896468596438396
0.02831238032827238,-0.037944766259785476,-0.0009701316618474093,-0.006483312566757521
-0.028991256763618328,-0.06664338879475512,-0.004263863260698768,-0.005571084408822619
0.029512025074541204,-0.006042562353515503,-0.0018339525765198941,-0.0003303980661657144
0.01106731118585344,-0.06933836118957576,0.0008848851544003555,0.00041515550718998484
-0.017495063631919355,0.09639587164136547,-0.0031983746918350514,-0.0008388449978583637
0.03439988357184026,0.0557638868629978,0.0016728605402701324,0.0033401023950536887
0.0169440916751539,-0.053277059032105445,0.00011647283674329212,-0.008088169615976977
0.005074993611858314,0.08376633121730928,0.0008263607019858843,0.0003261708554794518
0.01814160486681357,-0.06919791805706033,0.0012923016027573675,0.0025987195283396214
-0.06432588969860331,-0.02026271684770921,0.0004351350058900555,7.041792831624649e-05
0.029382825278838592,-0.037737326082206264,0.002502163760685787,-0.00834172932522946
0.028811247747726837,0.09924897228984876,0.0013243103645469295,0.0005300587871230542
-0.04593259048025272,0.10789882018045113,0.00045698442875765494,0.0024306318997185453
-0.04207981961106483,-0.0815767485191225,-1.7669038450754404e-06,-0.0011214425314089727
0.01797752311524764,0.00982629662119295,-0.004864412708063086,0.0038033620100881224
0.039582238895932126,-0.07175646972718265,-0.0018961400668821987,0.001708422509661571
0.004834906052205767,-0.005906203762653314,-0.0006172660061379148,0.0036077143458478136
-0.05299597088143382,-0.06407432023988538,-0.0004237921202803821,0.0018744308959706066
0.03922332150718372,-0.1050785134662196,0.0003201338607153256,9.852755162182564e-05
-0.033177879488082956,-0.051364595788752625,7.484040582004386e-05,0.0020886879074697787
-0.017123216023652715,0.009250230690817998,-0.0010299089242534892,-0.002576293129642998
-0.052635643900812934,-0.06407536625225627,-0.00039352838804749407,0.002817631429829763
-0.0030443841784768555,0.08340680973477176,0.0008153685247861489,0.003306928333769603
0.0355827974315554,0.04124337696245138,-0.004912427365945403,0.0023820451851363847
0.012306083686402597,0.02512455568739158,0.00016526755834657403,0.0019396599073558604
-0.032440748222489824,-0.005816602461028948,-0.001256066768962262,-0.001978614026402356
0.035014407497895514,-0.05490612779729254,0.0003294185890231477,0.003535369267477842
-0.06981342201693891,0.050238915110566995,-0.0029028334020483326,0.003170545139666338
0.03920279569732646,-0.038173442225529146,0.002147276212573636,-0.009260299858913197
-0.056434621543324515,0.03799442499637803,0.0008107088644983274,-0.0010937726208154613
0.01936270968426354,0.05548168948256954,0.0005518181678906553,0.0015601378247801223
