Scorer_1,Scorer_2,Subject
4.444776500916816e-05,7.500734108521364e-05,4.557887191699953e-05
-8.501174472627285e-05,7.50073410852129e-05,4.55788719169987e-05
1.2945950973542526e-06,7.500734108521325e-05,4.557887191699884e-05
8.76009349209812e-05,7.50073410852129e-05,4.5578871916999135e-05
-4.185857481445881e-05,-3.113512271461674e-05,4.01268537451096e-05
4.4447765009167427e-05,-3.113512271461724e-05,4.012685374510894e-05
-8.501174472627247e-05,-3.113512271461715e-05,4.012685374510928e-05
1.294595097354361e-06,-3.1135122714616984e-05,4.0126853745109386e-05
8.760093492098106e-05,-3.113512271461666e-05,4.012685374510947e-05
-4.1858574814459355e-05,3.962651981860311e-05,4.0126853745109224e-05
4.444776500916797e-05,3.962651981860364e-05,4.01268537451097e-05
-8.501174472627215e-05,3.962651981860354e-05,4.012685374510982e-05
1.2945950973550116e-06,3.9626519818603895e-05,4.012685374511001e-05
8.760093492098063e-05,3.962651981860319e-05,4.0126853745108926e-05
-4.185857481445892e-05,-6.651594398122694e-05,4.012685374510982e-05
4.444776500916813e-05,-6.65159439812267e-05,4.012685374510986e-05
-8.501174472627204e-05,-6.651594398122685e-05,4.0126853745109874e-05
1.2945950973539274e-06,-6.651594398122759e-05,4.0126853745109115e-05
8.760093492098106e-05,-6.651594398122688e-05,4.012685374510944e-05
-4.1858574814459247e-05,4.245698551992724e-06,4.012685374510906e-05
4.4447765009167914e-05,4.245698551993035e-06,4.0126853745108966e-05
-8.50117447262722e-05,4.245698551992995e-06,4.012685374510917e-05
1.29459509735512e-06,4.24569855199351e-06,4.012685374510971e-05
8.760093492098063e-05,4.245698551992751e-06,4.012685374510871e-05
-4.185857481445914e-05,7.500734108521328e-05,4.012685374510971e-05
4.444776500916813e-05,7.50073410852138e-05,4.012685374510989e-05
-8.501174472627199e-05,7.500734108521366e-05,4.012685374510993e-05
1.2945950973544695e-06,7.500734108521336e-05,4.012685374510944e-05
8.760093492098106e-05,7.500734108521363e-05,4.0126853745109386e-05
-4.185857481445849e-05,-3.113512271461639e-05,3.467483557321969e-05
4.4447765009167345e-05,-3.113512271461727e-05,3.4674835573218676e-05
-8.501174472627247e-05,-3.113512271461712e-05,3.467483557321904e-05
1.2945950973542526e-06,-3.113512271461712e-05,3.4674835573219096e-05
8.760093492098155e-05,-3.113512271461666e-05,3.467483557321972e-05
-4.185857481445914e-05,3.962651981860335e-05,3.467483557321918e-05
4.444776500916756e-05,3.9626519818603285e-05,3.4674835573219055e-05
-8.501174472627215e-05,3.9626519818603516e-05,3.467483557321956e-05
1.2945950973547947e-06,3.962651981860365e-05,3.4674835573219584e-05
8.760093492098122e-05,3.96265198186033e-05,3.4674835573219286e-05
-4.1858574814459084e-05,-6.651594398122704e-05,3.4674835573219475e-05
4.444776500916805e-05,-6.651594398122673e-05,3.46748355732196e-05
-8.501174472627204e-05,-6.651594398122688e-05,3.467483557321961e-05
1.2945950973541984e-06,-6.651594398122734e-05,3.467483557321915e-05
8.760093492098122e-05,-6.651594398122721e-05,3.4674835573219394e-05
-4.185857481445952e-05,4.245698551992805e-06,3.467483557321888e-05
4.444776500916778e-05,4.245698551993279e-06,3.467483557321895e-05
-8.501174472627247e-05,4.245698551993076e-06,3.467483557321904e-05
1.2945950973549032e-06,4.245698551993591e-06,3.4674835573219584e-05
8.760093492098182e-05,4.2456985519937266e-06,3.4674835573219936e-05
-4.1858574814459084e-05,7.500734108521341e-05,3.46748355732195e-05
4.444776500916794e-05,7.500734108521362e-05,3.467483557321949e-05
-8.501174472627204e-05,7.500734108521368e-05,3.4674835573219665e-05
1.2945950973541442e-06,7.500734108521306e-05,3.467483557321893e-05
8.76009349209816e-05,7.500734108521363e-05,3.467483557321969e-05
-4.1858574814459084e-05,-3.113512271461636e-05,2.9222817401329605e-05
4.444776500916827e-05,-3.113512271461648e-05,2.9222817401329957e-05
-8.501174472627199e-05,-3.113512271461636e-05,2.9222817401329917e-05
1.2945950973539816e-06,-3.113512271461709e-05,2.922281740132913e-05
8.760093492098093e-05,-3.113512271461658e-05,2.922281740132951e-05
-4.185857481445919e-05,3.962651981860322e-05,2.922281740132901e-05
4.444776500916794e-05,3.962651981860304e-05,2.9222817401329307e-05
-8.50117447262722e-05,3.96265198186033e-05,2.922281740132943e-05
1.294595097354849e-06,3.9626519818603624e-05,2.922281740132951e-05
8.760093492098082e-05,3.962651981860311e-05,2.922281740132875e-05
-4.185857481445914e-05,-6.651594398122715e-05,2.922281740132928e-05
4.444776500916843e-05,-6.651594398122692e-05,2.922281740132985e-05
-8.50117447262721e-05,-6.651594398122715e-05,2.9222817401329456e-05
1.2945950973541984e-06,-6.651594398122748e-05,2.922281740132905e-05
8.760093492098109e-05,-6.651594398122713e-05,2.9222817401329185e-05
-4.185857481445881e-05,4.245698551993808e-06,2.9222817401329795e-05
4.444776500916778e-05,4.245698551992981e-06,2.922281740132917e-05
