theta1,theta2,theta3,thetad1,thetad2,thetad3,tau1,tau2
-0.007515047458083957,0.08027938345075594,0.15216414993993976,0.0003828668548243666,-0.005740153770499073,3.147706711528059e-06,-0.001233758765165096,0.0027382474351967563
0.007759293549295776,0.13034925556539734,0.1047181207498374,-0.00042195174231645163,-0.02954951483980099,1.7107401220350926e-06,0.00011119912526025809,0.0063697119267685735
0.002111819005402263,-0.10304843591232617,0.0152826093939829,0.00048547181697211096,0.01530435973071489,2.5291771162377213e-06,-0.0034745051659989586,-0.001248104206406829
0.00740359308855118,0.002468094027532333,0.050608733216261116,0.0003200151672658816,-0.024127194249770986,3.4943514267589404e-06,-0.0002785045971061533,0.005569975611677233
-0.001235605939744519,0.08898254535610009,0.08830917009523684,6.0352511332540174e-05,0.021203467349263212,1.3031497066631065e-06,0.0007043660628357311,-0.006418340408332633
0.0031643465864634457,0.10657993061091899,-0.10738132462669261,-0.00046301627100416715,0.014284706634710972,1.643322801843372e-06,0.0005208138685897055,0.00022871005305762082
0.007456304668584449,0.16880871032694456,-0.040066489616637065,-0.0001783827058584337,0.005782352214638136,-9.086823956842155e-07,0.0006449528493134137,-0.002906128771403192
0.0018380955502416696,-0.011381494799080363,-0.13844302620744872,0.00023215451196728805,0.009030160299596765,-2.090117317178272e-06,0.0007067911920998326,0.001671420657225203
0.0026505365856207275,0.015037039444812784,-0.15801780831035395,0.00015773060663413878,0.013119555331341985,4.0880408924172384e-07,0.0005514007303959838,0.00953841409400582
0.009594810587140026,-0.06897958621927476,-0.00767207058063799,-0.00048128144255150766,0.012838887006537424,4.4479257137013117e-07,0.001193680830838751,0.008653537958193923
0.000554285662777293,-0.19413302580876884,-0.11204793828791808,0.000425761489876976,0.004246624828335509,-8.812381188973151e-07,-0.003944104125281837,7.660200938636869e-06
-0.009286910772308851,0.1933318334221236,0.024562648450333596,-0.0003011850528823381,0.018950457759163306,1.2787320969997323e-06,-0.0013281089831469178,0.004123800988447453
0.00605426472418602,-0.12312609784147867,-0.033683178087625706,-0.00031207005406802026,0.018928810252062417,2.49660376165986e-07,0.0010033753553344103,0.0023368608097016994
0.0038613855756852444,-0.2910181460883597,0.08310004631230546,2.0441804422125648e-05,-0.025423257030709846,-1.1419992348472852e-06,-0.0024659654281693755,-0.007665108863332012
0.005498224730010534,0.1767484506168246,-0.017938346361436958,-0.00019507632295281442,-0.007684626164138172,3.130119507737533e-07,-0.001421888823148594,-0.01342683597844031
-0.016090636112623527,0.07533003096062078,0.08044346273119393,0.0003926981320084167,0.020553056477624176,-3.673347988075032e-06,0.0008267429410674376,-0.0035676361877070564
0.002526485221518507,-0.2693637819596496,0.01791207286772077,0.00038373459238767726,-0.011351476680133362,-1.5638827926024723e-06,0.001936823240915207,0.008428521105369763
0.0031116687173248503,0.17642412911491073,0.0964283904904062,-4.741805945357967e-05,0.009579515641340916,-6.688198035450371e-07,6.53943098193107e-05,-0.0024781929003792978
-0.004222271922898563,0.14975244879161076,-0.07474282387964547,-0.0005378354714112698,0.003316830342473204,3.416000768472968e-06,0.00042598315227684,0.005724539529325504
0.007606652333231503,0.10368834626631672,0.15627986262049487,0.0003843752177548204,0.002825893104467285,3.2053122303275783e-06,-0.0008911885488895183,0.0021277151880656105
-0.007302119186156142,-0.007540350503309819,0.19960050881028346,0.0002456254419336123,-0.004810390848565885,-2.0914059418279674e-06,-0.00034430925871849205,0.0029145011099518028
-0.0025804819902812554,0.10311251771186158,-0.08173809590699627,-0.00029455968441069284,0.014957048225591192,1.9138188186908905e-06,-0.0009317746054804989,-0.002766443261933208
-0.009851515198423533,0.02022012013437334,0.02090376530318032,3.292251587839329e-05,-0.011878812093040026,-2.968664187981418e-07,0.0006902463753881878,-0.003904930514601233
0.0002327135935124569,-0.05331689090345222,0.12172179583126978,-0.00041898646046600353,0.01144482081608657,2.263409185057977e-06,-0.0001304416798912269,-0.0035877298263555825
0.0037176865255765246,-0.22745107656359223,0.13874074191853683,0.0003376983128887366,0.012411933966020893,-1.1694293932523747e-08,-0.004748462004558569,-0.020236165803211754
-0.00155773528664363,0.018112870851915742,-0.1674135621626128,-1.0457803232537949e-06,0.006441211688360352,3.7123357948636027e-07,0.0004447632411468828,0.0032109477581433715
-0.015458711588006657,0.049305849170692556,0.05473248252568852,7.690878532901763e-05,-0.013284770412389558,2.031308958354988e-06,0.0008373711958529623,-0.0010236096446424748
0.0033425122619661213,0.08375692531745577,-0.09916433565287443,-0.0003833913399691295,0.01064155059254677,-1.77232387728668e-06,0.0006298037076437335,0.005259848288152185
-0.0004573085754003836,-0.23626727858354096,-0.058615434856340576,-0.0005951901391511149,-0.007551616872999977,8.055475672272272e-08,-0.005875883166548277,0.001666395187813939
-0.012732693099418699,0.05614011265500598,0.049254929724802825,-6.787252009147343e-05,-0.013960490320131537,-3.2115368832526248e-06,0.0009306836400862877,0.003080159244317057
-0.00015821027666003407,-0.28960086541721447,-0.051273320419648,0.00021642062770738275,-0.0036803142382007253,-3.702585893421845e-07,0.0028605543643768615,-0.003758600908227213
-0.013278091875486939,-0.10401931785576093,0.18253223219767917,0.0003934606581620457,0.0037490965538643835,1.5070235621517797e-06,-0.00023137493100463917,-0.003363461357743065
-0.0050862249771470025,-0.17155636994290982,-0.034524217232787986,0.00018811537757789341,-0.005660019696318715,-1.0177159317208834e-06,0.0013972348534275463,-0.006527664802740559
-0.002238713520075611,-0.03944848384115688,-0.10950608932537927,-6.009521453399086e-05,-0.013913805525212595,5.065536421537675e-07,-0.002049015542819558,0.003081024662386536
0.0014521345158783894,0.07033515793864535,-0.1106579429994226,-0.00033181303364725884,0.01227097723355361,-2.4346252363305343e-06,-0.0006606999769710048,-0.014073175625819308
-0.0007636384802899299,0.16278557299802845,0.010255601292995497,0.00040242514825948594,-0.008949209813331528,-9.671345804519726e-07,0.0006602561975786996,0.00046079713480554584
0.005743143875425502,-0.05830420443972245,0.03911241760320795,-0.00013009658585520084,0.006054834839691419,-9.30700148674829e-07,-0.0007077192429235483,-0.029204785525308263
-0.01112807542620553,0.17705941216611515,0.04235979694944039,-0.0003410242460611685,-0.014154106577267907,9.653392706674563e-07,-0.0002451658597968139,0.002790552199444015
0.0010244601995411245,-0.016969479621563376,-0.1262516089476059,0.00015733844264043811,0.011479910890460193,1.1362010470736261e-06,-4.30077303766839e-05,0.0007669704508316572
-0.0013513756211949862,0.1469957341249233,0.12684563948402736,0.00021882437036649556,-0.0028701907677469683,9.514523537541841e-07,0.000825323409411903,0.0027701006708866684
0.0007589534841217355,-0.27456233935520113,0.010700109966180808,0.00012206574606290523,0.007486758531370645,-1.371370152923948e-06,-0.006529407145762552,-0.007097754651223637
0.0033125203098652023,-0.04576652842631597,0.03614534043249785,-0.0003377805755552174,-0.022387664320355362,-3.0816740209313465e-07,0.0014302372467500536,0.009922093791787575
0.000524208095755388,-0.18237712533793796,-0.10656949041938855,-7.872465329374599e-05,0.0029479043483970954,-1.022872682792178e-06,0.0021105386242181983,0.010151600058473301
0.00698381700570555,0.19453436924493414,0.022703084139264897,9.550495053281365e-05,0.017739367242870938,-2.693884709010705e-06,0.0008717452763716566,0.006248340358839552
-0.0014868059905210618,0.029381926296859234,0.0772564226214922,-0.00010736480829012449,0.018098510379714217,1.428497386025962e-06,0.0010874518349758971,0.004457995857347267
-0.0008944750775610188,0.1468478232244203,0.1230150792387124,0.00043538185538530803,0.01678878196514264,1.564126016236414e-06,-0.000832501730670468,-0.008150092110173968
-0.0009559302335496733,-0.14950628783543068,-0.06013782736635294,-5.8595857666925155e-05,0.0076579247720049565,1.910646234358493e-06,0.0022051522788436896,0.0007749390088193295
