fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
-0.00042748396633608357,-0.0038428389566443344,-0.0009131267325614132,-0.00013916875274943324,0.00014859722298893053,-7.020695168171614e-05,0.0008296509760711781,-0.0009720835339538962,-0.00105655950559479,-0.0006961995080067536,-0.00658802643653534
-0.00016824072928046347,-0.008096710388965861,-0.0009142214227200317,2.361566995644017e-05,-0.00036720680928087866,0.00013311800909907156,-0.000929802883513829,-0.00013474116277715326,0.0006741593339793438,0.0010506621544041177,-0.0038191400700233295
-0.00016866946173055815,-0.005277284717185941,-0.0007737136289836073,-4.633858341216276e-05,-0.00022706493020522407,-1.220372862636987e-05,-0.00023690911152233842,-0.0003031801645160497,0.0003398069354692874,0.0006153073209777564,-0.0038289462964097034
0.002073084777925872,0.006168138167926596,0.001098143702525153,-0.00014162301477765605,0.00017505983635311497,1.7156664814118754e-05,-0.0005654845196796139,-0.0011595775382548788,0.0009123804564574759,-0.0004123683824986666,-0.003881810730356261
-0.0004277470595397747,-0.002901359805884542,-0.0009137306814725412,-0.00016252214951806022,0.00017213287388162524,-4.1208458294002204e-05,0.0005102631560511642,-0.0009727085566173547,-0.0010572483090701954,-0.000696641249074637,-0.006592202463910396
-0.00010343464362120145,-0.0014884724459863219,-0.0007014541930709437,-0.0002094509390804694,0.00031337454558521313,-1.2189199505833562e-05,-0.0005037248743892294,0.0002009429483930469,0.00011562344145288339,-0.0021563016714875225,-0.006604701722057997
-0.0004962624441816636,-0.00268492610323361,-0.0009203987792235688,-0.0003043276032060999,0.0004095227729471806,-1.2256739252842974e-05,0.0015344802401797062,0.00172157284920566,-0.00039000561734607125,-0.002021342606562224,-0.002447226143603059
-0.00016911608342796915,-0.0010195578483987815,-0.0008473960278056258,-0.00011666454779997646,0.0002202824843616198,-9.986966167295299e-05,0.001693024627839276,-0.00013542019252936268,-0.00022091312544789794,-0.0005542581339548769,-0.005932519253410553
-0.000882995184084248,-0.0010148037442967333,-0.0006296148270455173,-0.0001626964021898785,-0.0003439398430708269,-1.2179011765880326e-05,-0.0008235506649088987,0.0006202416600774241,0.00022732858730000776,-0.0009888156543706398,-0.007988252985324185
-0.0016021561182020065,-0.001846663323302575,-0.0009172379422564389,-0.00020986095186839715,-0.00015664491279995146,2.3620661736371376e-06,-0.0005047090396196251,0.0019680468241775476,-0.0014537404007945929,-0.0012838026771224804,-0.0031353099377186716
