Scorer_1,Scorer_2,Subject
3.425699360849846e-07,4.584853669482989e-05,5.0108347259880094e-05
2.318056567508863e-05,4.584853669482987e-05,5.0108347259880006e-05
-1.1076427933416716e-05,-7.696004373775018e-05,5.0108347259879864e-05
1.1761567805586943e-05,-7.696004373775022e-05,5.01083472598799e-05
-2.2495425802918512e-05,-7.696004373775015e-05,5.010834725988001e-05
3.4256993608494397e-07,-7.696004373775026e-05,5.0108347259879837e-05
2.3180565675088658e-05,-7.696004373775025e-05,5.010834725987991e-05
-1.1076427933416784e-05,4.912343217303309e-06,5.0108347259879986e-05
1.1761567805586984e-05,4.912343217303404e-06,5.010834725988017e-05
-2.2495425802918594e-05,4.912343217303336e-06,5.0108347259880175e-05
3.425699360851337e-07,4.912343217303458e-06,5.010834725988022e-05
2.318056567508867e-05,4.9123432173033495e-06,5.010834725988009e-05
-1.107642793341677e-05,8.678473017235651e-05,5.010834725988009e-05
1.1761567805586997e-05,8.678473017235657e-05,5.010834725988013e-05
-2.2495425802918648e-05,8.678473017235643e-05,5.010834725988008e-05
3.425699360850524e-07,8.678473017235653e-05,5.010834725988011e-05
2.3180565675088726e-05,8.678473017235657e-05,5.0108347259880074e-05
-1.1076427933416744e-05,-3.602385026022354e-05,4.330014790391801e-05
1.1761567805586957e-05,-3.6023850260223506e-05,4.330014790391803e-05
-2.2495425802918573e-05,-3.6023850260223526e-05,4.3300147903918126e-05
3.425699360849575e-07,-3.602385026022366e-05,4.330014790391797e-05
2.31805656750887e-05,-3.6023850260223506e-05,4.3300147903918044e-05
-1.1076427933416825e-05,4.5848536694829805e-05,4.3300147903918065e-05
1.1761567805586903e-05,4.584853669482987e-05,4.3300147903918126e-05
-2.2495425802918682e-05,4.584853669482979e-05,4.330014790391815e-05
3.4256993608512015e-07,4.5848536694829934e-05,4.3300147903918316e-05
2.31805656750887e-05,4.584853669482993e-05,4.330014790391815e-05
-1.107642793341692e-05,-7.69600437377502e-05,4.330014790391797e-05
1.1761567805586984e-05,-7.696004373774995e-05,4.330014790391825e-05
-2.2495425802918736e-05,-7.696004373775015e-05,4.33001479039181e-05
3.42569936085215e-07,-7.696004373774985e-05,4.330014790391842e-05
2.318056567508867e-05,-7.696004373775e-05,4.3300147903918234e-05
-1.1076427933416662e-05,4.912343217303336e-06,4.3300147903918146e-05
1.1761567805586821e-05,4.91234321730316e-06,4.3300147903918004e-05
-2.249542580291852e-05,4.9123432173033495e-06,4.330014790391829e-05
3.425699360850253e-07,4.912343217303214e-06,4.330014790391816e-05
2.3180565675088563e-05,4.91234321730318e-06,4.330014790391802e-05
-1.1076427933416676e-05,8.678473017235654e-05,4.3300147903918214e-05
1.1761567805586875e-05,8.678473017235642e-05,4.330014790391806e-05
-2.2495425802918533e-05,8.678473017235651e-05,4.3300147903918234e-05
3.425699360850795e-07,8.678473017235646e-05,4.330014790391817e-05
2.318056567508878e-05,8.678473017235655e-05,4.330014790391814e-05
-1.1076427933416744e-05,-3.6023850260223554e-05,3.6491948547956056e-05
1.1761567805587052e-05,-3.6023850260223425e-05,3.6491948547956164e-05
-2.249542580291856e-05,-3.602385026022358e-05,3.649194854795619e-05
3.4256993608491686e-07,-3.602385026022358e-05,3.649194854795598e-05
2.3180565675088753e-05,-3.602385026022345e-05,3.649194854795614e-05
-1.107642793341669e-05,4.5848536694829954e-05,3.6491948547956246e-05
1.176156780558678e-05,4.584853669482979e-05,3.6491948547956056e-05
-2.2495425802918506e-05,4.58485366948299e-05,3.649194854795636e-05
3.425699360849575e-07,4.584853669482992e-05,3.649194854795619e-05
2.318056567508859e-05,4.584853669482985e-05,3.6491948547956096e-05
-1.1076427933416716e-05,-7.696004373774988e-05,3.6491948547956286e-05
1.1761567805586916e-05,-7.69600437377499e-05,3.649194854795633e-05
-2.249542580291845e-05,-7.696004373774983e-05,3.64919485479565e-05
3.4256993608491686e-07,-7.696004373774991e-05,3.649194854795624e-05
2.3180565675088604e-05,-7.696004373774995e-05,3.6491948547956286e-05
-1.1076427933416744e-05,4.91234321730316e-06,3.649194854795599e-05
1.1761567805586984e-05,4.912343217303255e-06,3.6491948547956124e-05
-2.2495425802918573e-05,4.912343217303106e-06,3.649194854795615e-05
3.425699360849033e-07,4.912343217303106e-06,3.649194854795595e-05
2.3180565675088766e-05,4.912343217303295e-06,3.649194854795614e-05
-1.1076427933416716e-05,8.678473017235646e-05,3.649194854795618e-05
1.1761567805586916e-05,8.678473017235644e-05,3.6491948547956096e-05
-2.2495425802918587e-05,8.678473017235636e-05,3.64919485479562e-05
3.425699360849982e-07,8.678473017235648e-05,3.64919485479561e-05
2.3180565675088766e-05,8.678473017235655e-05,3.649194854795616e-05
-1.1076427933416649e-05,-3.602385026022335e-05,2.968374919199425e-05
1.1761567805587025e-05,-3.602385026022333e-05,2.968374919199425e-05
-2.2495425802918838e-05,-3.60238502602237e-05,2.9683749191994006e-05
3.4256993608503883e-07,-3.602385026022334e-05,2.9683749191994196e-05
2.3180565675088766e-05,-3.6023850260223343e-05,2.9683749191994243e-05
-1.1076427933416798e-05,4.5848536694829744e-05,2.9683749191994027e-05
1.1761567805586997e-05,4.584853669482992e-05,2.9683749191994182e-05
-2.249542580291858e-05,4.584853669482983e-05,2.968374919199419e-05
3.425699360849033e-07,4.5848536694829805e-05,2.9683749191994047e-05
2.3180565675088793e-05,4.584853669482994e-05,2.968374919199419e-05
-1.1076427933416622e-05,-7.696004373774988e-05,2.968374919199429e-05
1.1761567805586808e-05,-7.696004373775012e-05,2.96837491919941e-05
-2.249542580291843e-05,-7.696004373774985e-05,2.9683749191994426e-05
3.4256993608497107e-07,-7.696004373774996e-05,2.9683749191994196e-05
2.3180565675088522e-05,-7.696004373775017e-05,2.9683749191994108e-05
-1.1076427933416703e-05,4.912343217303255e-06,2.9683749191994074e-05
1.1761567805586916e-05,4.912343217303234e-06,2.9683749191994115e-05
-2.249542580291858e-05,4.912343217303255e-06,2.9683749191994196e-05
3.425699360849304e-07,4.9123432173032276e-06,2.9683749191994047e-05
2.3180565675088644e-05,4.912343217303194e-06,2.968374919199406e-05
-1.1076427933416649e-05,8.678473017235657e-05,2.968374919199429e-05
1.1761567805586862e-05,8.678473017235644e-05,2.9683749191994108e-05
-2.24954258029185e-05,8.678473017235657e-05,2.9683749191994325e-05
3.4256993608503883e-07,8.678473017235659e-05,2.9683749191994182e-05
2.3180565675088753e-05,8.678473017235657e-05,2.96837491919942e-05
-1.1076427933416622e-05,-3.6023850260223215e-05,2.2875549836032302e-05
1.1761567805586848e-05,-3.602385026022348e-05,2.287554983603212e-05
-2.249542580291843e-05,-3.602385026022324e-05,2.2875549836032438e-05
3.4256993608501173e-07,-3.602385026022328e-05,2.2875549836032194e-05
2.318056567508859e-05,-3.6023850260223506e-05,2.2875549836032102e-05
-1.107642793341669e-05,4.584853669483005e-05,2.2875549836032248e-05
1.1761567805586835e-05,4.5848536694829826e-05,2.2875549836032112e-05
-2.249542580291854e-05,4.584853669482997e-05,2.2875549836032336e-05
3.425699360849575e-07,4.584853669483001e-05,2.2875549836032207e-05
2.3180565675088617e-05,4.584853669482988e-05,2.287554983603213e-05
-1.1076427933416744e-05,-7.696004373775012e-05,2.2875549836031963e-05
1.1761567805586943e-05,-7.696004373775022e-05,2.2875549836032024e-05
-2.2495425802918485e-05,-7.69600437377501e-05,2.2875549836032167e-05
3.4256993608491686e-07,-7.696004373775018e-05,2.2875549836031936e-05
2.3180565675088658e-05,-7.696004373775022e-05,2.2875549836032034e-05
-1.107642793341673e-05,4.91234321730339e-06,2.287554983603214e-05
1.1761567805586997e-05,4.912343217303356e-06,2.287554983603224e-05
-2.2495425802918485e-05,4.912343217303417e-06,2.2875549836032383e-05
3.425699360849304e-07,4.9123432173033495e-06,2.2875549836032112e-05
2.318056567508874e-05,4.912343217303377e-06,2.2875549836032245e-05
-1.1076427933416825e-05,8.678473017235646e-05,2.287554983603208e-05
1.1761567805586997e-05,8.678473017235651e-05,2.2875549836032187e-05
-2.2495425802918567e-05,8.678473017235648e-05,2.287554983603222e-05
3.425699360849846e-07,8.678473017235654e-05,2.28755498360321e-05
2.3180565675088807e-05,8.678473017235659e-05,2.2875549836032207e-05
-1.1076427933416716e-05,-3.602385026022358e-05,1.606735048007009e-05
1.1761567805587025e-05,-3.602385026022356e-05,1.6067350480070144e-05
-2.249542580291854e-05,-3.602385026022343e-05,1.606735048007022e-05
3.425699360849575e-07,-3.6023850260223526e-05,1.606735048007003e-05
2.3180565675088753e-05,-3.6023850260223574e-05,1.6067350480070137e-05
-1.1076427933416716e-05,4.5848536694829805e-05,1.6067350480070144e-05
1.1761567805587079e-05,4.584853669482988e-05,1.60673504800703e-05
-2.249542580291866e-05,4.584853669482983e-05,1.606735048007015e-05
3.4256993608494397e-07,4.584853669482984e-05,1.6067350480070117e-05
2.318056567508886e-05,4.58485366948299e-05,1.60673504800703e-05
-1.1076427933416879e-05,-7.696004373775018e-05,1.606735048007005e-05
1.1761567805587106e-05,-7.696004373774995e-05,1.6067350480070415e-05
-2.2495425802918865e-05,-7.69600437377502e-05,1.6067350480070015e-05
3.4256993608475423e-07,-7.696004373775018e-05,1.6067350480070002e-05
2.3180565675088807e-05,-7.696004373774999e-05,1.606735048007041e-05
-1.1076427933416635e-05,4.912343217303377e-06,1.6067350480070266e-05
1.1761567805586862e-05,4.9123432173031666e-06,1.606735048007017e-05
-2.2495425802918485e-05,4.912343217303499e-06,1.6067350480070422e-05
3.4256993608501173e-07,4.91234321730339e-06,1.6067350480070232e-05
2.3180565675088617e-05,4.9123432173031666e-06,1.6067350480070178e-05
-1.107642793341669e-05,8.678473017235648e-05,1.6067350480070273e-05
1.176156780558693e-05,8.67847301723564e-05,1.60673504800702e-05
-2.2495425802918743e-05,8.67847301723564e-05,1.6067350480070117e-05
3.4256993608506594e-07,8.678473017235662e-05,1.6067350480070246e-05
2.318056567508878e-05,8.678473017235648e-05,1.6067350480070253e-05
-1.1076427933416784e-05,-3.602385026022357e-05,9.259151124108108e-06
1.1761567805587133e-05,-3.602385026022333e-05,9.259151124108352e-06
-2.2495425802918797e-05,-3.602385026022357e-05,9.25915112410804e-06
3.4256993608494397e-07,-3.602385026022358e-05,9.259151124108094e-06
2.3180565675088834e-05,-3.602385026022336e-05,9.259151124108311e-06
-1.1076427933416622e-05,4.5848536694829914e-05,9.25915112410827e-06
1.1761567805586916e-05,4.5848536694829785e-05,9.259151124108169e-06
-2.2495425802918675e-05,4.584853669482989e-05,9.259151124108162e-06
3.425699360851066e-07,4.58485366948299e-05,9.259151124108305e-06
2.31805656750887e-05,4.58485366948298e-05,9.259151124108155e-06
-1.1076427933416622e-05,-7.696004373774983e-05,9.259151124108433e-06
1.1761567805586997e-05,-7.696004373774991e-05,9.259151124108433e-06
-2.2495425802919e-05,-7.696004373775018e-05,9.259151124108e-06
3.425699360850524e-07,-7.696004373774988e-05,9.25915112410842e-06
2.31805656750887e-05,-7.696004373774993e-05,9.25915112410842e-06
-1.1076427933416716e-05,4.912343217303146e-06,9.259151124108067e-06
1.1761567805586997e-05,4.912343217303207e-06,9.25915112410819e-06
-2.2495425802918594e-05,4.912343217303309e-06,9.25915112410819e-06
3.425699360849846e-07,4.912343217303119e-06,9.259151124108081e-06
2.318056567508878e-05,4.912343217303221e-06,9.259151124108203e-06
-1.1076427933416784e-05,8.678473017235638e-05,9.259151124108183e-06
1.1761567805587025e-05,8.678473017235651e-05,9.259151124108291e-06
-2.249542580291862e-05,8.678473017235657e-05,9.259151124108237e-06
3.425699360850253e-07,8.678473017235643e-05,9.259151124108196e-06
2.3180565675088834e-05,8.678473017235655e-05,9.259151124108277e-06
