model,accuracy,best_params,training_time,shap_time
LogisticRegression,0.6956018518518519,{'clf__C': 0.1},13.63773250579834,0.0381464958190918
RidgeClassifier,0.7008101851851852,{'clf__alpha': 10.0},6.574790954589844,0.05749011039733887
SGDClassifier,0.7002314814814815,"{'clf__alpha': 0.001, 'clf__loss': 'hinge'}",7.621910810470581,0.045094966888427734
SVC,0.7251157407407407,"{'clf__C': 1, 'clf__kernel': 'linear'}",9.108060598373413,0.08684635162353516
LinearSVC,0.6996527777777778,{'clf__C': 0.1},7.249229431152344,0.0006582736968994141
DecisionTree,0.9913194444444444,{'clf__max_depth': None},6.799320220947266,0.979191780090332
RandomForest,0.9878472222222222,"{'clf__max_depth': 10, 'clf__n_estimators': 100}",3.342313766479492,149.69992589950562
ExtraTrees,0.9861111111111112,"{'clf__max_depth': None, 'clf__n_estimators': 100}",3.1049964427948,154.60545086860657
GradientBoosting,0.9953703703703703,"{'clf__learning_rate': 0.1, 'clf__n_estimators': 200}",22.63586163520813,200.40220308303833
AdaBoost,0.8414351851851852,{'clf__n_estimators': 50},6.203691244125366,50.72062397003174
XGBoost,0.9953703703703703,{'clf__n_estimators': 100},2400.9903812408447,24.891319036483765
KNN,0.9618055555555556,{'clf__n_neighbors': 5},1.7047667503356934,336.52437114715576
GaussianNB,0.6151620370370371,{},1.6046791076660156,3.2054855823516846
MLP,0.9947916666666666,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50, 50)}",13.821354389190674,28.067846059799194
