is_converged?,n_adj
false,4.670334097222294
false,4.6958911074276175
false,4.890357169312546
false,4.850556306438661
false,4.879978734426293
false,4.765293285146229
false,4.710757558341385
false,4.791634016760797
false,4.795701132313708
false,4.865716194443377
false,4.821816003502262
false,4.762507449728547
false,4.79304768085194
false,4.65261935776642
false,4.892841762136893
false,4.724675340272176
false,4.876965777067197
false,4.964263419732636
false,4.976336020301535
false,4.771757732913916
false,4.805267315841832
false,4.804921748861909
false,4.749488603012943
false,4.965380917257192
false,4.794954187720564
false,4.770476182595861
false,4.717478774324618
false,4.88471970614466
false,4.941770622323362
false,4.8493510827689335
false,4.698655924872963
false,5.021472141223663
false,4.758281542662878
false,4.794777857998241
false,4.890118358652846
false,4.907516117531332
false,4.8254230697182
false,4.885723663309864
false,4.749603996409271
false,4.860590229084443
false,4.8958008579205305
false,4.837673679712216
false,4.841006570621177
false,4.8808762400547385
false,4.875075544243902
false,4.874495945794124
false,5.001837485255339
false,4.80981852832766
false,4.883285347737679
false,4.822892546972312
false,4.873917523765394
false,4.784731465885265
false,4.917400701089996
false,4.998043977658581
false,4.7841190418776645
false,4.693704316338843
false,4.771990019784138
false,4.650833913663529
false,5.03123016829914
false,4.920678780313672
false,4.773366760047944
false,4.812732165850827
false,4.809428156360204
false,4.7574903207002555
false,4.864201814406147
false,4.746569269135194
false,4.8015129253212345
false,4.915203641894967
false,4.875245069895174
false,4.959197974664503
false,4.917269869526463
false,4.982905467869975
false,4.744774799237276
false,4.858021435404802
false,4.903061500703493
false,4.714926422395698
false,4.83538626969154
false,4.83335382501204
false,4.835866294512341
false,4.817173262279752
false,4.872277550599051
false,4.853943720804775
false,4.892636956270477
false,4.883584673721592
false,4.899513683329756
false,4.959010800048562
false,4.79839459616336
false,4.827959706840511
false,4.742386442489351
false,4.792703679011993
false,4.801623824113678
false,4.824629780327192
false,4.808792918293574
false,4.851868615382816
false,4.774118756497052
false,4.755164266092263
false,4.774687584221055
false,4.857815285908595
false,4.8721052274297705
false,4.8237474858925165
false,4.7539875720403115
false,4.83428381399984
false,4.788684928999335
false,4.911442065372086
false,4.767265257214247
false,4.825885299059742
false,4.785824981869608
false,4.70429584501592
false,4.938449425264839
false,4.752753390301117
false,4.818093172885264
false,4.836096524052909
false,4.944068698440203
false,4.8872867103597315
false,4.6834790491230605
false,4.84804473870665
false,4.854595517171584
false,4.743531223678285
false,4.984685024238775
false,4.868446895678132
false,4.827845774782297
false,4.735879330833688
false,4.8603342116526695
false,4.837279876985757
false,4.806262229994487
false,4.8360710323363945
false,4.7269977121143425
false,4.854509791074639
false,4.697054732875341
false,4.83517090864961
false,4.656723719147656
false,4.947419379861815
false,4.748637763521131
false,4.851785414155183
false,4.939825550829605
false,5.021655294221218
