is_converged?,n_adj
false,3.0726221645492204
false,3.0881651856957983
false,3.127093342433341
false,3.065637628614572
false,3.113939897662709
false,3.0910327626097582
false,3.1135070767106114
false,3.1091263051574654
false,3.079091589873433
false,3.0934315502351257
false,3.0795866740426345
false,3.075143559928348
false,3.076967488563581
false,3.0976757112905884
false,3.0234842529744004
false,3.054557916579315
false,3.1002023117426503
false,3.07324160023452
false,3.0884990287410807
false,3.102122399736989
false,3.0685265819148952
false,3.0985748788497713
false,3.0784093809752524
false,3.0843164698664745
false,3.069389181792082
false,3.0524284579722805
false,3.0884410926743784
false,3.118017092925845
false,3.099478336300253
false,3.0942847371738647
false,3.075936477902583
false,3.0966593582443127
false,3.0780474869183974
false,3.075518599367678
false,3.0654960943173006
false,3.0958353729020787
false,3.0503763103602166
false,3.0776056989088127
false,3.12261286925135
false,3.07407187208741
false,3.071536418562842
false,3.1169533717365545
false,3.077837068217582
false,3.091778173366922
false,3.0821799082550347
false,3.122432478470456
false,3.0676068353235997
false,3.0999257644715965
false,3.081961558146447
false,3.0723115312667706
false,3.093854632783104
false,3.135449026149765
false,3.068825471002857
false,3.106771870704965
false,3.0991007028066426
false,3.0811924800395936
false,3.068378686097222
false,3.095748219657157
false,3.0699191312365697
false,3.1228216506821327
false,3.067438283367275
false,3.069999504886568
false,3.0906616920452374
false,3.11726523219832
false,3.09932897076622
false,3.074332679796733
false,3.108337702850644
false,3.1298407466198546
false,3.098120333870598
false,3.0801642651799677
false,3.0906695019439927
false,3.084615780897494
false,3.1017865330513876
false,3.109305365353614
false,3.0891990243983667
false,3.121742547672949
false,3.0944062199868307
false,3.131133099762832
false,3.069317933998067
false,3.138378887854105
false,3.079622864379909
false,3.1075003336928413
false,3.092042779118125
false,3.1082433756706793
false,3.054815761820567
false,3.0848937825889227
false,3.108820280807666
false,3.100680411954845
false,3.0895042498581735
false,3.0615164899689407
false,3.0879933870206067
false,3.1088829742544077
false,3.0691030387794767
false,3.0759684901139703
false,3.058614881790913
false,3.082680944039148
false,3.0837512723704275
false,3.061755945344641
false,3.070714158260385
false,3.069114858341977
false,3.118265903233554
false,3.1066333623425515
false,3.116598516217834
false,3.0564172914505123
false,3.1063239388349304
false,3.0927918319959953
false,3.0911111577695682
false,3.0924050674097603
false,3.071825368550065
false,3.0760050107237418
false,3.097383645066613
false,3.1012390583722307
false,3.110487415097169
false,3.0878069575446085
false,3.098574450112084
false,3.1182236026509615
false,3.1072509023651143
false,3.071755205359066
false,3.0882028891732607
false,3.091737133549869
false,3.098247733969183
false,3.092154865451208
false,3.0630006560502756
false,3.100770888389914
false,3.0793922794389563
false,3.067202553102961
false,3.087088557489798
false,3.0557715386674125
false,3.0927216615942
false,3.0596449468765146
false,3.1092761294710285
false,3.0658773199342573
false,3.096638342917626
false,3.091515948756453
false,3.126771583521652
false,3.0995509601143105
false,3.072325573784707
false,3.09344342771866
false,3.1045804661804635
false,3.101465020146445
false,3.123871284434038
false,3.064855412872832
false,3.1179254984540417
false,3.0617690511646645
false,3.0808038226976513
false,3.09125560682128
false,3.1421407200593197
false,3.0957465430295517
false,3.058504835043911
false,3.078101993347295
false,3.0305831964158267
false,3.1061769910951496
false,3.0988815597605606
false,3.1069047254707565
false,3.1114971936962235
false,3.114947687468983
false,3.1226927762619217
false,3.0642321146014773
false,3.0844643147863198
false,3.077854080436602
false,3.0962891695736974
false,3.129933832118028
false,3.080673304364773
false,3.105993608821909
false,3.068717333289785
false,3.08912611341166
false,3.0856059076834135
false,3.0475012496517158
false,3.105578378061636
false,3.123066849528911
false,3.0901629692029986
false,3.0743164144549375
false,3.1021990557113575
false,3.125925124493
false,3.09670470905962
false,3.081827154546293
false,3.0496104464969354
false,3.0869737410898965
false,3.0693476950937826
false,3.1217734417493226
false,3.1163548497481184
false,3.0734426869252136
false,3.0640475417243076
false,3.1105093316469627
false,3.0667991154288146
false,3.1267913462925137
false,3.1098107529440724
false,3.0805640201851725
false,3.0961820879451696
false,3.0966764197389036
false,3.0881658468421556
false,3.071879231933171
false,3.085777846178535
false,3.110176457472182
false,3.0824837532250977
false,3.063945539689273
false,3.114026311445143
false,3.1194339950046106
false,3.0855745506055308
false,3.083184712723695
false,3.1393550566849404
false,3.1020236754546913
false,3.095635336895643
false,3.07886893844116
false,3.1089613453512612
false,3.09615985079708
false,3.1168789470572555
false,3.109534369374162
false,3.099315707872815
false,3.0867476706272416
false,3.085524858406908
false,3.0788065913830462
false,3.0780500509500848
false,3.0770271608717468
false,3.11377866687676
false,3.0880731655564477
false,3.0771673322964217
false,3.0831878852878405
false,3.1266920319290734
false,3.0691178497037654
false,3.0698152897341573
false,3.084882973306377
false,3.1033459645612718
false,3.076646773969896
false,3.0615245943930627
false,3.099354283359892
false,3.091123724044616
false,3.0901761036649127
false,3.0815165388558965
false,3.1499216878785794
false,3.076609709295716
false,3.0752714555988447
false,3.0987245232339684
false,3.0886083822981685
false,3.0797773608788663
false,3.1184286048699414
false,3.05969157378514
false,3.1082480921036812
false,3.059130533522252
false,3.0897179216170176
false,3.073559989988697
false,3.1005940935346437
false,3.063582700670204
false,3.115501332108394
false,3.089081982729822
false,3.0346923521333076
false,3.055523218971579
false,3.1244020189424955
false,3.074765525564132
false,3.061655605517288
false,3.099588588202876
false,3.050997219695578
false,3.119805233877582
false,3.0638417014344355
false,3.0747001506546
false,3.14252718591327
false,3.0692655517181358
false,3.1120150610673587
false,3.0729638096824674
false,3.081939788544628
false,3.0765617834029793
false,3.1199134293298583
false,3.090553516119669
false,3.090997079495911
false,3.078208839811486
false,3.0925662075734044
false,3.1035476507660684
false,3.0559295530529225
false,3.1159698121237063
false,3.1253969419923853
false,3.1281658508734993
false,3.073993331973062
false,3.1131059278165196
false,3.1151364689607726
false,3.0828188156043232
false,3.0618543144155628
false,3.067498346875822
false,3.117770144085808
false,3.071883362178983
false,3.0852158074859766
false,3.1010800453398053
false,3.089200283803971
false,3.102998159922184
false,3.064886999927171
false,3.097961418055536
false,3.1052730780906024
false,3.078138167829729
false,3.1059070551628905
false,3.141565512593921
false,3.1130911053361867
false,3.0947771475122274
false,3.1071759061239255
false,3.120364014934454
false,3.1207742424845133
false,3.0988814451002944
false,3.0803163969215914
false,3.0731344876486375
false,3.070846099088903
false,3.072303991271876
false,3.0883952180593552
false,3.0793122658790057
false,3.0955554171913393
false,3.0480351076956613
false,3.102510435433199
false,3.1130471764570764
false,3.0723752283827315
false,3.1363953974683905
false,3.094493289829092
false,3.0907343027062306
false,3.0721767288139454
false,3.1325322657089965
false,3.06883118161884
false,3.0687235606003758
false,3.08743715712632
false,3.101943312092623
false,3.093487390768003
false,3.1092565317088265
false,3.0796741263240737
false,3.1237692097190584
false,3.10477474897062
false,3.093143558469076
false,3.1242846438586866
false,3.115548049407876
false,3.0717790894322903
false,3.0761875147049365
false,3.0994255874651877
false,3.091441699927246
false,3.098652019421573
false,3.0999277184504876
false,3.1179508331633663
false,3.088650444219152
false,3.0694731835295874
false,3.0738995061490164
false,3.1050858690107375
false,3.0508152062308316
false,3.108874523728686
false,3.092619542575908
false,3.128130221549643
false,3.0703637802156547
false,3.095135243267742
false,3.095282352274155
false,3.0975892426137546
false,3.0827847056027795
false,3.0559697949837714
false,3.0682721047060686
false,3.086810329028821
false,3.0386617525696873
false,3.0997220708499795
false,3.1017780586661092
false,3.103825370842397
false,3.0712058281258203
false,3.0708590463898853
false,3.0885868334687903
false,3.0539835490328104
false,3.0682899020103225
false,3.0925888490036564
false,3.052946195932245
false,3.0771941568638654
false,3.0904013756511226
false,3.069765374983409
false,3.0880663087815057
false,3.0822405156259047
false,3.0470738903071815
false,3.0931598302493324
false,3.0804748107240596
false,3.0988097628459057
false,3.088841302862037
false,3.0745546142256788
false,3.0852166689829224
false,3.077035946524244
false,3.0924395114999452
false,3.086665707309058
false,3.081692091091978
false,3.078319261254168
false,3.0404855418746606
false,3.112429106808128
false,3.1053769577529997
false,3.129701089800255
false,3.0947056333350145
false,3.060179792109976
false,3.0903727002434036
false,3.084574011525417
false,3.0753726031436974
false,3.0948579240704808
false,3.0667270163631333
false,3.1161276011944086
false,3.102720792043677
false,3.1027340811568376
false,3.0911609977488057
false,3.116687201682962
false,3.0989370577022046
false,3.0504948227803075
false,3.100687546707146
false,3.1022255975165987
false,3.094543540528493
false,3.0815381274903086
false,3.055692926642564
false,3.11195184973262
false,3.0816558713059563
false,3.1074934866582002
false,3.100762667423765
false,3.089440681736027
false,3.0969075927177747
false,3.123205598922155
false,3.1090690709092006
false,3.0567351248034385
